Date,Home v Away Teams,Venue,Crowd,round,Home,Away,Home Score,Away Score
Sat 6 May 2:10pm,Geelong v Adelaide,GMHBA Stadium,21415,R8,Geelong , Adelaide,98,72
Sat 6 May 4:35pm,Gold Coast v Melbourne,Heritage Bank Stadium,11440,R8,Gold Coast , Melbourne,85,90
Sat 6 May 5:30pm,Fremantle v Hawthorn,Optus Stadium,37160,R8,Fremantle , Hawthorn,117,48
Sat 6 May 7:30pm,GWS v Western Bulldogs,Manuka Oval,10039,R8,GWS , Western Bulldogs,71,86
Sun 7 May 12:40pm,Port Adelaide v Essendon,Adelaide Oval,36247,R8,Port Adelaide , Essendon,92,87
Sun 7 May 3:20pm,Collingwood v Sydney,MCG,71463,R8,Collingwood , Sydney,77,48
Fri 12 May 6:40pm,West Coast v Gold Coast,Optus Stadium,36219,R9,West Coast , Gold Coast,43,113
Fri 12 May 7:20pm,Richmond v Geelong,MCG,58141,R9,Richmond , Geelong,102,78
Sat 13 May 1:45pm,Sydney v Fremantle,SCG,28927,R9,Sydney , Fremantle,86,103
Sat 13 May 2:10pm,North Melbourne v Port Adelaide,Blundstone Arena,6310,R9,North Melbourne , Port Adelaide,65,135
Sat 13 May 4:35pm,Hawthorn v Melbourne,MCG,39818,R9,Hawthorn , Melbourne,49,103
Sat 13 May 7:25pm,Brisbane v Essendon,Gabba,31898,R9,Brisbane , Essendon,87,45
Sat 13 May 7:30pm,Carlton v Western Bulldogs,Marvel Stadium,42756,R9,Carlton , Western Bulldogs,59,79
Sun 14 May 12:40pm,Adelaide v St Kilda,Adelaide Oval,33805,R9,Adelaide , St Kilda,121,69
Fri 19 May 7:20pm,Port Adelaide v Melbourne,Adelaide Oval,37565,R10,Port Adelaide , Melbourne,80,76
Sat 20 May 1:45pm,North Melbourne v Sydney,Marvel Stadium,21003,R10,North Melbourne , Sydney,90,93
Sat 20 May 2:10pm,Western Bulldogs v Adelaide,Mars Stadium,10114,R10,Western Bulldogs , Adelaide,85,40
Sat 20 May 2:35pm,Fremantle v Geelong,Optus Stadium,45811,R10,Fremantle , Geelong,106,77
Sat 20 May 7:30pm,Brisbane v Gold Coast,Gabba,23286,R10,Brisbane , Gold Coast,107,64
Sat 20 May 7:40pm,Essendon v Richmond,MCG,78300,R10,Essendon , Richmond,71,70
Sun 21 May 1:10pm,Hawthorn v West Coast,UTAS Stadium,9135,R10,Hawthorn , West Coast,142,26
Sun 21 May 3:20pm,Carlton v Collingwood,MCG,80354,R10,Carlton , Collingwood,57,85
Fri 26 May 7:50pm,Sydney v Carlton,SCG,36310,R11,Sydney , Carlton,77,51
Sat 27 May 1:45pm,St Kilda v Hawthorn,Marvel Stadium,32022,R11,St Kilda , Hawthorn,78,88
Sat 27 May 2:10pm,Melbourne v Fremantle,MCG,29154,R11,Melbourne , Fremantle,72,79
Sat 27 May 4:35pm,Geelong v GWS,GMHBA Stadium,21349,R11,Geelong , GWS,74,81
Sat 27 May 5:40pm,West Coast v Essendon,Optus Stadium,39269,R11,West Coast , Essendon,46,96
Sat 27 May 6:55pm,Gold Coast v Western Bulldogs,TIO Stadium,9316,R11,Gold Coast , Western Bulldogs,84,77
Sun 28 May 1:10pm,Richmond v Port Adelaide,MCG,30357,R11,Richmond , Port Adelaide,67,77
Sun 28 May 3:20pm,Collingwood v North Melbourne,Marvel Stadium,39467,R11,Collingwood , North Melbourne,105,70
Fri 2 Jun 7:50pm,Melbourne v Carlton,MCG,49872,R12,Melbourne , Carlton,61,44
Sat 3 Jun 1:15pm,Port Adelaide v Hawthorn,Adelaide Oval,34234,R12,Port Adelaide , Hawthorn,151,96
Sat 3 Jun 2:35pm,West Coast v Collingwood,Optus Stadium,41713,R12,West Coast , Collingwood,57,120
Sat 3 Jun 7:00pm,Gold Coast v Adelaide,TIO Stadium,10772,R12,Gold Coast , Adelaide,112,87
Sat 3 Jun 7:25pm,Western Bulldogs v Geelong,Marvel Stadium,41944,R12,Western Bulldogs , Geelong,75,97
Sun 4 Jun 1:10pm,GWS v Richmond,GIANTS Stadium,9723,R12,GWS , Richmond,104,110
Thu 8 Jun 7:10pm,Sydney v St Kilda,SCG,30123,R13,Sydney , St Kilda,66,80
Fri 9 Jun 7:50pm,Western Bulldogs v Port Adelaide,Marvel Stadium,23110,R13,Western Bulldogs , Port Adelaide,85,107
Sat 10 Jun 1:45pm,Hawthorn v Brisbane,MCG,35869,R13,Hawthorn , Brisbane,98,73
Sat 10 Jun 4:05pm,Adelaide v West Coast,Adelaide Oval,39450,R13,Adelaide , West Coast,174,52
Sat 10 Jun 5:25pm,Fremantle v Richmond,Optus Stadium,46843,R13,Fremantle , Richmond,70,85
Sun 11 Jun 3:20pm,North Melbourne v GWS,Blundstone Arena,5025,R13,North Melbourne , GWS,75,103
Sun 11 Jun 7:15pm,Carlton v Essendon,MCG,83638,R13,Carlton , Essendon,52,86
Thu 15 Jun 7:10pm,Port Adelaide v Geelong,Adelaide Oval,36316,R14,Port Adelaide , Geelong,110,72
Fri 16 Jun 7:50pm,Brisbane v Sydney,Gabba,28561,R14,Brisbane , Sydney,97,81
Sat 17 Jun 4:35pm,GWS v Fremantle,GIANTS Stadium,8633,R14,GWS , Fremantle,106,36
Sat 17 Jun 7:25pm,Richmond v St Kilda,MCG,62686,R14,Richmond , St Kilda,90,70
Sun 18 Jun 1:10pm,Carlton v Gold Coast,MCG,29602,R14,Carlton , Gold Coast,120,61
