Date,Venue,Crowd,round,Home,Away,Home Score,Away Score,Disposals home,Kicks home,Handballs home,Goals home,Behinds home,Marks home,Clearances home,Tackles home,Contested Possessions home,Uncontested Possessions home,Hit Outs home,Contested Marks home,Marks Inside 50 home,Goal Assists home,Frees home,Frees Against home,Inside 50s home,Rebounds home,Clangers home,One Percenters home,Bounces home,Disposals away,Kicks away,Handballs away,Goals away,Behinds away,Marks away,Clearances away,Tackles away,Contested Possessions away,Uncontested Possessions away,Hit Outs away,Contested Marks away,Marks Inside 50 away,Goal Assists away,Frees away,Frees Against away,Inside 50s away,Rebounds away,Clangers away,One Percenters away,Bounces away
Sun 16 Apr 2:50pm,Norwood Oval,9057,R5,GWS,HAW,77,75,388.0,213.0,175.0,10.0,13.0,97.0,31.0,79.0,142.0,234.0,37.0,14.0,12.0,7.0,17.0,18.0,52.0,42.0,61.0,58.0,2.0,388.0,213.0,175.0,10.0,13.0,97.0,31.0,79.0,142.0,234.0,37.0,14.0,12.0,7.0,17.0,18.0,52.0,42.0,61.0,58.0,2.0
Fri 21 Apr 6:10pm,Optus Stadium,47503,R6,FRE,WBD,69,118,337.0,186.0,151.0,10.0,7.0,76.0,42.0,57.0,129.0,203.0,62.0,12.0,8.0,7.0,15.0,18.0,44.0,42.0,43.0,48.0,4.0,337.0,186.0,151.0,10.0,7.0,76.0,42.0,57.0,129.0,203.0,62.0,12.0,8.0,7.0,15.0,18.0,44.0,42.0,43.0,48.0,4.0
Sat 22 Apr 1:15pm,Adelaide Oval,31638,R6,POR,WCE,109,69,342.0,203.0,139.0,16.0,12.0,81.0,41.0,68.0,133.0,201.0,40.0,10.0,14.0,13.0,21.0,23.0,59.0,36.0,62.0,47.0,0.0,342.0,203.0,139.0,16.0,12.0,81.0,41.0,68.0,133.0,201.0,40.0,10.0,14.0,13.0,21.0,23.0,59.0,36.0,62.0,47.0,0.0
Sat 22 Apr 4:35pm,Manuka Oval,10461,R6,GWS,BRL,87,108,414.0,220.0,194.0,13.0,8.0,79.0,34.0,57.0,157.0,257.0,44.0,9.0,12.0,10.0,10.0,17.0,51.0,43.0,55.0,46.0,4.0,414.0,220.0,194.0,13.0,8.0,79.0,34.0,57.0,157.0,257.0,44.0,9.0,12.0,10.0,10.0,17.0,51.0,43.0,55.0,46.0,4.0
Sat 22 Apr 7:25pm,GMHBA Stadium,23134,R6,GEE,SYD,130,37,360.0,210.0,150.0,20.0,9.0,91.0,36.0,59.0,139.0,213.0,27.0,14.0,22.0,17.0,25.0,20.0,53.0,34.0,57.0,34.0,4.0,360.0,210.0,150.0,20.0,9.0,91.0,36.0,59.0,139.0,213.0,27.0,14.0,22.0,17.0,25.0,20.0,53.0,34.0,57.0,34.0,4.0
Sun 23 Apr 1:10pm,UTAS Stadium,10119,R6,HAW,ADE,76,79,352.0,185.0,167.0,11.0,9.0,78.0,38.0,88.0,134.0,212.0,52.0,8.0,7.0,9.0,19.0,20.0,47.0,42.0,54.0,42.0,6.0,352.0,185.0,167.0,11.0,9.0,78.0,38.0,88.0,134.0,212.0,52.0,8.0,7.0,9.0,19.0,20.0,47.0,42.0,54.0,42.0,6.0
Sun 23 Apr 3:20pm,Marvel Stadium,45770,R6,CAR,STK,60,82,446.0,256.0,190.0,8.0,11.0,140.0,31.0,47.0,140.0,304.0,36.0,14.0,9.0,4.0,20.0,14.0,52.0,44.0,59.0,46.0,0.0,446.0,256.0,190.0,8.0,11.0,140.0,31.0,47.0,140.0,304.0,36.0,14.0,9.0,4.0,20.0,14.0,52.0,44.0,59.0,46.0,0.0
Sun 23 Apr 4:40pm,Heritage Bank Stadium,9672,R6,GCS,NTH,97,54,370.0,256.0,114.0,14.0,12.0,135.0,34.0,52.0,133.0,238.0,27.0,12.0,20.0,10.0,17.0,16.0,51.0,42.0,53.0,34.0,1.0,370.0,256.0,114.0,14.0,12.0,135.0,34.0,52.0,133.0,238.0,27.0,12.0,20.0,10.0,17.0,16.0,51.0,42.0,53.0,34.0,1.0
Mon 24 Apr 7:25pm,MCG,83985,R6,MEL,RCH,96,78,381.0,215.0,166.0,15.0,6.0,103.0,35.0,41.0,135.0,249.0,31.0,18.0,13.0,8.0,23.0,27.0,53.0,48.0,75.0,37.0,2.0,381.0,215.0,166.0,15.0,6.0,103.0,35.0,41.0,135.0,249.0,31.0,18.0,13.0,8.0,23.0,27.0,53.0,48.0,75.0,37.0,2.0
Fri 28 Apr 7:50pm,Marvel Stadium,25845,R7,STK,POR,76,83,392.0,238.0,154.0,11.0,7.0,95.0,37.0,67.0,154.0,233.0,38.0,8.0,9.0,9.0,28.0,14.0,54.0,37.0,63.0,50.0,7.0,392.0,238.0,154.0,11.0,7.0,95.0,37.0,67.0,154.0,233.0,38.0,8.0,9.0,9.0,28.0,14.0,54.0,37.0,63.0,50.0,7.0
