teams,round,Player,disposals,odds,home,away
collingwood v carlton,R20,patrick cripps,To Get 30 or More Disposals,2.60,COL,CAR
collingwood v carlton,R20,adam cerra,To Get 30 or More Disposals,2.80,COL,CAR
collingwood v carlton,R20,george hewett,To Get 30 or More Disposals,3.15,COL,CAR
collingwood v carlton,R20,blake acres,To Get 30 or More Disposals,7.00,COL,CAR
collingwood v carlton,R20,nic newman,To Get 30 or More Disposals,8.00,COL,CAR
collingwood v carlton,R20,adam saad,To Get 30 or More Disposals,10.00,COL,CAR
geelong v fremantle,R20,isaac smith,To Get 15 or More Disposals,1.08,GEE,FRE
geelong v fremantle,R20,gryan miers,To Get 15 or More Disposals,1.10,GEE,FRE
geelong v fremantle,R20,jack bowes,To Get 15 or More Disposals,1.10,GEE,FRE
geelong v fremantle,R20,max holmes,To Get 15 or More Disposals,1.14,GEE,FRE
geelong v fremantle,R20,tom atkins,To Get 15 or More Disposals,1.18,GEE,FRE
geelong v fremantle,R20,zach tuohy,To Get 15 or More Disposals,1.23,GEE,FRE
geelong v fremantle,R20,mark blicavs,To Get 15 or More Disposals,1.28,GEE,FRE
geelong v fremantle,R20,tanner bruhn,To Get 15 or More Disposals,1.33,GEE,FRE
geelong v fremantle,R20,jeremy cameron,To Get 15 or More Disposals,1.48,GEE,FRE
geelong v fremantle,R20,brad close,To Get 15 or More Disposals,1.65,GEE,FRE
geelong v fremantle,R20,mark o'connor,To Get 15 or More Disposals,1.88,GEE,FRE
geelong v fremantle,R20,rhys stanley,To Get 15 or More Disposals,2.90,GEE,FRE
geelong v fremantle,R20,tom hawkins,To Get 15 or More Disposals,2.90,GEE,FRE
geelong v fremantle,R20,jack henry,To Get 15 or More Disposals,3.05,GEE,FRE
geelong v fremantle,R20,jake kolodjashnij,To Get 15 or More Disposals,3.20,GEE,FRE
geelong v fremantle,R20,sam de koning,To Get 15 or More Disposals,3.30,GEE,FRE
geelong v fremantle,R20,tyson stengle,To Get 15 or More Disposals,3.80,GEE,FRE
geelong v fremantle,R20,luke ryan,To Get 15 or More Disposals,SUS,GEE,FRE
geelong v fremantle,R20,hayden young,To Get 15 or More Disposals,1.07,GEE,FRE
geelong v fremantle,R20,liam henry,To Get 15 or More Disposals,1.11,GEE,FRE
geelong v fremantle,R20,jordan clark,To Get 15 or More Disposals,1.22,GEE,FRE
geelong v fremantle,R20,corey wagner,To Get 15 or More Disposals,1.35,GEE,FRE
geelong v fremantle,R20,luke jackson,To Get 15 or More Disposals,1.40,GEE,FRE
geelong v fremantle,R20,neil erasmus,To Get 15 or More Disposals,1.40,GEE,FRE
geelong v fremantle,R20,matt johnson,To Get 15 or More Disposals,1.41,GEE,FRE
geelong v fremantle,R20,lachie schultz,To Get 15 or More Disposals,1.48,GEE,FRE
geelong v fremantle,R20,ethan hughes,To Get 15 or More Disposals,1.94,GEE,FRE
geelong v fremantle,R20,sam switkowski,To Get 15 or More Disposals,2.07,GEE,FRE
geelong v fremantle,R20,josh treacy,To Get 15 or More Disposals,3.70,GEE,FRE
geelong v fremantle,R20,tom stewart,To Get 20 or More Disposals,1.18,GEE,FRE
geelong v fremantle,R20,mitch duncan,To Get 20 or More Disposals,1.30,GEE,FRE
geelong v fremantle,R20,patrick dangerfield,To Get 20 or More Disposals,1.38,GEE,FRE
geelong v fremantle,R20,gryan miers,To Get 20 or More Disposals,1.49,GEE,FRE
geelong v fremantle,R20,jack bowes,To Get 20 or More Disposals,1.54,GEE,FRE
geelong v fremantle,R20,max holmes,To Get 20 or More Disposals,1.60,GEE,FRE
geelong v fremantle,R20,isaac smith,To Get 20 or More Disposals,1.66,GEE,FRE
geelong v fremantle,R20,tom atkins,To Get 20 or More Disposals,1.94,GEE,FRE
geelong v fremantle,R20,zach tuohy,To Get 20 or More Disposals,2.25,GEE,FRE
geelong v fremantle,R20,mark blicavs,To Get 20 or More Disposals,2.80,GEE,FRE
geelong v fremantle,R20,tanner bruhn,To Get 20 or More Disposals,2.80,GEE,FRE
geelong v fremantle,R20,jeremy cameron,To Get 20 or More Disposals,3.25,GEE,FRE
geelong v fremantle,R20,brad close,To Get 20 or More Disposals,4.10,GEE,FRE
geelong v fremantle,R20,mark o'connor,To Get 20 or More Disposals,5.80,GEE,FRE
geelong v fremantle,R20,jaeger o'meara,To Get 20 or More Disposals,1.30,GEE,FRE
geelong v fremantle,R20,luke ryan,To Get 20 or More Disposals,1.30,GEE,FRE
geelong v fremantle,R20,liam henry,To Get 20 or More Disposals,1.49,GEE,FRE
geelong v fremantle,R20,hayden young,To Get 20 or More Disposals,1.50,GEE,FRE
geelong v fremantle,R20,jordan clark,To Get 20 or More Disposals,2.25,GEE,FRE
geelong v fremantle,R20,corey wagner,To Get 20 or More Disposals,2.65,GEE,FRE
geelong v fremantle,R20,luke jackson,To Get 20 or More Disposals,2.80,GEE,FRE
