disposals,round,teams,Player,odds,home,away
To Get 30 or More Disposals,R18,melbourne v brisbane,tom sparrow,18.00,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,max gawn,26.00,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,lachie neale,1.76,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,jarryd lyons,3.40,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,hugh mccluggage,4.50,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,will ashcroft,6.25,MEL,BRL
To Get 30 or More Disposals,R18,melbourne v brisbane,dayne zorko,19.00,MEL,BRL
To Get 15 or More Disposals,R18,collingwood v fremantle,josh daicos,SUS,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,jordan de goey,1.06,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,john noble,1.07,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,jack crisp,1.13,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,steele sidebottom,1.15,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,isaac quaynor,1.17,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,taylor adams,1.19,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,patrick lipinski,1.22,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,brayden maynard,1.26,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,jeremy howe,1.33,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,darcy moore,1.36,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,daniel mcstay,2.50,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,mason cox,2.70,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,billy frampton,2.90,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,jamie elliott,4.10,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,ash johnson,4.70,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,luke ryan,1.07,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,liam henry,1.11,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,james aish,1.14,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,jordan clark,1.17,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,sean darcy,1.34,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,lachie schultz,1.38,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,matt johnson,1.38,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,neil erasmus,1.49,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,luke jackson,1.54,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,corey wagner,1.67,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,sam switkowski,2.30,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,bailey banfield,2.35,COL,FRE
To Get 15 or More Disposals,R18,collingwood v fremantle,michael walters,4.60,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,josh daicos,1.16,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,scott pendlebury,1.27,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,jordan de goey,1.28,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,john noble,1.49,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,steele sidebottom,1.61,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,jack crisp,1.72,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,taylor adams,1.94,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,isaac quaynor,1.97,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,brayden maynard,2.25,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,patrick lipinski,2.25,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,darcy moore,2.65,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,jeremy howe,2.80,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,daniel mcstay,7.25,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,mason cox,7.25,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,jaeger o'meara,1.30,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,luke ryan,1.31,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,liam henry,1.47,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,james aish,1.59,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,jordan clark,1.91,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,matt johnson,2.40,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,sean darcy,2.70,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,lachie schultz,2.85,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,luke jackson,3.05,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,neil erasmus,3.45,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,corey wagner,4.25,COL,FRE
To Get 20 or More Disposals,R18,collingwood v fremantle,sam switkowski,8.00,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,nick daicos,1.10,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,josh daicos,1.74,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,jordan de goey,1.95,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,scott pendlebury,2.25,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,steele sidebottom,2.90,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,john noble,3.20,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,jack crisp,3.80,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,taylor adams,4.75,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,isaac quaynor,4.90,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,brayden maynard,6.25,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,patrick lipinski,7.25,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,darcy moore,8.25,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,jeremy howe,10.50,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,andrew brayshaw,1.14,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,luke ryan,2.07,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,jaeger o'meara,2.25,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,liam henry,2.55,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,james aish,2.85,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,jordan clark,4.60,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,matt johnson,5.75,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,luke jackson,8.00,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,sean darcy,8.50,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,lachie schultz,9.25,COL,FRE
To Get 25 or More Disposals,R18,collingwood v fremantle,neil erasmus,11.50,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,nick daicos,1.39,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,josh daicos,3.30,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,jordan de goey,3.45,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,scott pendlebury,5.40,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,steele sidebottom,6.00,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,john noble,9.25,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,jack crisp,10.50,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,taylor adams,14.00,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,isaac quaynor,15.00,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,brayden maynard,19.00,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,darcy moore,29.00,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,andrew brayshaw,1.61,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,luke ryan,3.80,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,jaeger o'meara,5.10,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,liam henry,5.10,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,james aish,6.00,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,jordan clark,14.00,COL,FRE
To Get 30 or More Disposals,R18,collingwood v fremantle,matt johnson,14.00,COL,FRE
To Get 15 or More Disposals,R18,gold-coast v st-kilda,darcy macpherson,1.06,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,matt rowell,1.07,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,rory atkins,1.09,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,sam flanders,1.10,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,wil powell,1.11,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,brandon ellis,1.32,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,david swallow,1.32,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,charlie ballard,1.42,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,ben ainsworth,1.54,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,elijah hollands,1.69,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,bailey humphrey,1.72,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,sam collins,1.88,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,jack lukosius,1.93,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,jarrod witts,1.96,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,nick holman,2.35,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,nasiah wanganeen-milera,SUS,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,mason wood,1.08,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,rowan marshall,1.08,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,zak jones,1.10,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,brad hill,1.13,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,callum wilkie,1.22,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,marcus windhager,1.30,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,ryan byrnes,1.34,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,jade gresham,1.35,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,liam stocker,1.42,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,jimmy webster,1.43,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,dougal howard,1.76,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,mitchito owens,2.05,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,mattaes phillipou,2.35,GCS,STK
To Get 15 or More Disposals,R18,gold-coast v st-kilda,jack peris,2.90,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,touk miller,1.16,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,sam flanders,1.35,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,darcy macpherson,1.41,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,matt rowell,1.52,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,rory atkins,1.54,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,wil powell,1.67,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,brandon ellis,2.20,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,david swallow,2.75,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,charlie ballard,3.00,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,ben ainsworth,3.05,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,bailey humphrey,3.75,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,elijah hollands,4.30,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,jarrod witts,5.80,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,sam collins,6.00,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,jack lukosius,6.50,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,nick holman,8.25,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,brad crouch,1.09,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,jack steele,1.16,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,nasiah wanganeen-milera,1.29,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,rowan marshall,1.54,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,mason wood,1.67,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,zak jones,1.68,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,brad hill,1.70,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,jade gresham,2.25,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,callum wilkie,2.30,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,marcus windhager,2.45,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,ryan byrnes,2.65,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,liam stocker,3.05,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,jimmy webster,3.70,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,dougal howard,5.40,GCS,STK
To Get 20 or More Disposals,R18,gold-coast v st-kilda,mitchito owens,6.25,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,noah anderson,1.30,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,touk miller,1.77,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,sam flanders,1.95,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,darcy macpherson,2.60,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,rory atkins,3.15,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,matt rowell,3.20,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,wil powell,4.00,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,brandon ellis,4.90,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,ben ainsworth,8.00,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,charlie ballard,10.00,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,david swallow,10.00,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,bailey humphrey,11.00,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,elijah hollands,17.00,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,jack sinclair,1.18,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,brad crouch,1.55,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,jack steele,1.73,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,nasiah wanganeen-milera,2.20,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,rowan marshall,3.15,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,brad hill,3.90,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,zak jones,4.00,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,mason wood,4.50,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,jade gresham,5.30,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,callum wilkie,7.25,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,marcus windhager,7.25,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,ryan byrnes,8.75,GCS,STK
To Get 25 or More Disposals,R18,gold-coast v st-kilda,liam stocker,9.50,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,noah anderson,2.12,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,sam flanders,3.15,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,touk miller,3.45,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,darcy macpherson,6.25,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,rory atkins,8.25,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,matt rowell,9.00,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,wil powell,12.50,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,brandon ellis,13.00,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,ben ainsworth,23.00,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,jack sinclair,1.65,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,brad crouch,2.90,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,jack steele,3.30,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,nasiah wanganeen-milera,5.00,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,rowan marshall,8.00,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,brad hill,10.00,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,zak jones,12.00,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,jade gresham,13.00,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,mason wood,15.00,GCS,STK
To Get 30 or More Disposals,R18,gold-coast v st-kilda,marcus windhager,23.00,GCS,STK
To Get 15 or More Disposals,R18,carlton v port-adelaide,blake acres,1.06,CAR,POR
To Get 15 or More Disposals,R18,carlton v port-adelaide,adam saad,1.10,CAR,POR
To Get 15 or More Disposals,R18,carlton v port-adelaide,nic newman,1.13,CAR,POR
To Get 15 or More Disposals,R18,carlton v port-adelaide,jack silvagni,1.35,CAR,POR
To Get 15 or More Disposals,R18,carlton v port-adelaide,brodie kemp,1.44,CAR,POR
To Get 15 or More Disposals,R18,carlton v port-adelaide,matthew cottrell,1.51,CAR,POR
To Get 15 or More Disposals,R18,carlton v port-adelaide,jacob weitering,1.65,CAR,POR
To Get 15 or More Disposals,R18,carlton v port-adelaide,charlie curnow,1.90,CAR,POR
