round,Player,teams,disposals,odds,home,away
R18,jye caldwell,geelong v essendon,To Get 20 or More Disposals,1.70,GEE,ESS
R18,mason redman,geelong v essendon,To Get 20 or More Disposals,1.70,GEE,ESS
R18,archie perkins,geelong v essendon,To Get 20 or More Disposals,2.25,GEE,ESS
R18,jayden laverde,geelong v essendon,To Get 20 or More Disposals,4.30,GEE,ESS
R18,jake stringer,geelong v essendon,To Get 20 or More Disposals,4.40,GEE,ESS
R18,sam durham,geelong v essendon,To Get 20 or More Disposals,4.50,GEE,ESS
R18,nick bryan,geelong v essendon,To Get 20 or More Disposals,5.70,GEE,ESS
R18,jake kelly,geelong v essendon,To Get 20 or More Disposals,5.80,GEE,ESS
R18,kyle langford,geelong v essendon,To Get 20 or More Disposals,6.50,GEE,ESS
R18,patrick dangerfield,geelong v essendon,To Get 25 or More Disposals,1.93,GEE,ESS
R18,tom stewart,geelong v essendon,To Get 25 or More Disposals,1.93,GEE,ESS
R18,mitch duncan,geelong v essendon,To Get 25 or More Disposals,2.20,GEE,ESS
R18,gryan miers,geelong v essendon,To Get 25 or More Disposals,3.75,GEE,ESS
R18,isaac smith,geelong v essendon,To Get 25 or More Disposals,4.25,GEE,ESS
R18,jack bowes,geelong v essendon,To Get 25 or More Disposals,4.80,GEE,ESS
R18,max holmes,geelong v essendon,To Get 25 or More Disposals,4.80,GEE,ESS
R18,tanner bruhn,geelong v essendon,To Get 25 or More Disposals,7.00,GEE,ESS
R18,tom atkins,geelong v essendon,To Get 25 or More Disposals,7.00,GEE,ESS
R18,jeremy cameron,geelong v essendon,To Get 25 or More Disposals,11.50,GEE,ESS
R18,mark blicavs,geelong v essendon,To Get 25 or More Disposals,11.50,GEE,ESS
R18,zach guthrie,geelong v essendon,To Get 25 or More Disposals,11.50,GEE,ESS
R18,brad close,geelong v essendon,To Get 25 or More Disposals,14.00,GEE,ESS
R18,darcy parish,geelong v essendon,To Get 25 or More Disposals,1.14,GEE,ESS
R18,zach merrett,geelong v essendon,To Get 25 or More Disposals,1.24,GEE,ESS
R18,nic martin,geelong v essendon,To Get 25 or More Disposals,2.35,GEE,ESS
R18,andrew mcgrath,geelong v essendon,To Get 25 or More Disposals,2.65,GEE,ESS
R18,ben hobbs,geelong v essendon,To Get 25 or More Disposals,3.25,GEE,ESS
R18,mason redman,geelong v essendon,To Get 25 or More Disposals,3.80,GEE,ESS
R18,jye caldwell,geelong v essendon,To Get 25 or More Disposals,4.00,GEE,ESS
R18,dyson heppell,geelong v essendon,To Get 25 or More Disposals,4.10,GEE,ESS
R18,archie perkins,geelong v essendon,To Get 25 or More Disposals,6.25,GEE,ESS
R18,jayden laverde,geelong v essendon,To Get 25 or More Disposals,16.00,GEE,ESS
R18,patrick dangerfield,geelong v essendon,To Get 30 or More Disposals,4.10,GEE,ESS
R18,tom stewart,geelong v essendon,To Get 30 or More Disposals,4.30,GEE,ESS
R18,mitch duncan,geelong v essendon,To Get 30 or More Disposals,5.00,GEE,ESS
R18,gryan miers,geelong v essendon,To Get 30 or More Disposals,10.00,GEE,ESS
R18,jack bowes,geelong v essendon,To Get 30 or More Disposals,14.00,GEE,ESS
R18,max holmes,geelong v essendon,To Get 30 or More Disposals,14.00,GEE,ESS
R18,isaac smith,geelong v essendon,To Get 30 or More Disposals,15.00,GEE,ESS
R18,tanner bruhn,geelong v essendon,To Get 30 or More Disposals,26.00,GEE,ESS
R18,tom atkins,geelong v essendon,To Get 30 or More Disposals,26.00,GEE,ESS
R18,darcy parish,geelong v essendon,To Get 30 or More Disposals,1.50,GEE,ESS
R18,zach merrett,geelong v essendon,To Get 30 or More Disposals,1.70,GEE,ESS
R18,nic martin,geelong v essendon,To Get 30 or More Disposals,5.60,GEE,ESS
R18,andrew mcgrath,geelong v essendon,To Get 30 or More Disposals,7.00,GEE,ESS
R18,ben hobbs,geelong v essendon,To Get 30 or More Disposals,8.75,GEE,ESS
R18,mason redman,geelong v essendon,To Get 30 or More Disposals,10.00,GEE,ESS
R18,dyson heppell,geelong v essendon,To Get 30 or More Disposals,13.00,GEE,ESS
R18,jye caldwell,geelong v essendon,To Get 30 or More Disposals,13.00,GEE,ESS
R18,mitch hinge,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.07,ADE,GWS
R18,brodie smith,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.13,ADE,GWS
R18,rory sloane,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.17,ADE,GWS
R18,wayne milera,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.22,ADE,GWS
R18,chayce jones,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.36,ADE,GWS
R18,lachlan sholl,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.36,ADE,GWS
R18,josh rachele,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.49,ADE,GWS
R18,izak rankine,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.50,ADE,GWS
R18,josh worrell,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.58,ADE,GWS
R18,lachlan murphy,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.74,ADE,GWS
R18,reilly o'brien,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.75,ADE,GWS
R18,riley thilthorpe,adelaide v greater-western-sydney,To Get 15 or More Disposals,2.25,ADE,GWS
R18,taylor walker,adelaide v greater-western-sydney,To Get 15 or More Disposals,2.30,ADE,GWS
R18,shane mcadam,adelaide v greater-western-sydney,To Get 15 or More Disposals,3.80,ADE,GWS
R18,luke pedlar,adelaide v greater-western-sydney,To Get 15 or More Disposals,3.90,ADE,GWS
R18,finn callaghan,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.07,ADE,GWS
R18,lachie ash,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.07,ADE,GWS
R18,harry himmelberg,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.09,ADE,GWS
R18,harry perryman,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.19,ADE,GWS
R18,callan ward,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.20,ADE,GWS
R18,isaac cumming,adelaide v greater-western-sydney,To Get 15 or More Disposals,1.22,ADE,GWS
