odds,round,teams,disposals,Player,home,away
2.70,R18,collingwood v fremantle,To Get 20 or More Disposals,darcy moore,COL,FRE
2.75,R18,collingwood v fremantle,To Get 20 or More Disposals,jeremy howe,COL,FRE
7.75,R18,collingwood v fremantle,To Get 20 or More Disposals,mason cox,COL,FRE
8.25,R18,collingwood v fremantle,To Get 20 or More Disposals,billy frampton,COL,FRE
1.29,R18,collingwood v fremantle,To Get 20 or More Disposals,jaeger o'meara,COL,FRE
1.30,R18,collingwood v fremantle,To Get 20 or More Disposals,luke ryan,COL,FRE
1.48,R18,collingwood v fremantle,To Get 20 or More Disposals,liam henry,COL,FRE
1.62,R18,collingwood v fremantle,To Get 20 or More Disposals,james aish,COL,FRE
1.93,R18,collingwood v fremantle,To Get 20 or More Disposals,jordan clark,COL,FRE
2.25,R18,collingwood v fremantle,To Get 20 or More Disposals,matt johnson,COL,FRE
3.30,R18,collingwood v fremantle,To Get 20 or More Disposals,neil erasmus,COL,FRE
3.30,R18,collingwood v fremantle,To Get 20 or More Disposals,sean darcy,COL,FRE
3.70,R18,collingwood v fremantle,To Get 20 or More Disposals,luke jackson,COL,FRE
3.80,R18,collingwood v fremantle,To Get 20 or More Disposals,lachie schultz,COL,FRE
1.10,R18,collingwood v fremantle,To Get 25 or More Disposals,nick daicos,COL,FRE
1.53,R18,collingwood v fremantle,To Get 25 or More Disposals,tom mitchell,COL,FRE
1.76,R18,collingwood v fremantle,To Get 25 or More Disposals,josh daicos,COL,FRE
1.95,R18,collingwood v fremantle,To Get 25 or More Disposals,jordan de goey,COL,FRE
2.25,R18,collingwood v fremantle,To Get 25 or More Disposals,scott pendlebury,COL,FRE
3.20,R18,collingwood v fremantle,To Get 25 or More Disposals,john noble,COL,FRE
3.80,R18,collingwood v fremantle,To Get 25 or More Disposals,jack crisp,COL,FRE
4.60,R18,collingwood v fremantle,To Get 25 or More Disposals,isaac quaynor,COL,FRE
4.75,R18,collingwood v fremantle,To Get 25 or More Disposals,taylor adams,COL,FRE
6.50,R18,collingwood v fremantle,To Get 25 or More Disposals,brayden maynard,COL,FRE
