teams,disposals,round,Player,odds,home,away
brisbane v west-coast,To Get 25 or More Disposals,R17,deven robertson,8.50,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,jaspa fletcher,12.00,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,harris andrews,14.00,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,oscar mcinerney,16.00,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,cam rayner,17.00,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,tim kelly,1.49,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,liam duggan,2.02,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,dom sheed,2.12,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,alex witherden,2.30,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,jayden hunt,6.00,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,andrew gaff,6.25,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,jack petruccelle,8.25,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,bailey j. williams (wce),10.50,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,tom barrass,11.00,BRL,WCE
brisbane v west-coast,To Get 25 or More Disposals,R17,reuben ginbey,12.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,lachie neale,1.65,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,hugh mccluggage,3.40,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,will ashcroft,3.70,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,jarryd lyons,4.30,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,dayne zorko,10.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,darcy wilmot,16.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,conor mckenna,18.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,keidean coleman,19.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,zac bailey,23.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,deven robertson,26.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,joe daniher,26.00,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,tim kelly,2.30,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,liam duggan,3.30,BRL,WCE
brisbane v west-coast,To Get 30 or More Disposals,R17,dom sheed,3.50,BRL,WCE
