Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Miller, Touk",R2,goldcoast,ES,31.0,24.0,7.0,0.0,0.0,3.0,5.0,5.0,16.0,15.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,92,-,10.0,0.0,0.0
"Moyle, Ned",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Oea, Hewago",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Powell, Wil",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Rosas, Malcolm",R2,goldcoast,ES,11.0,7.0,4.0,0.0,3.0,1.0,1.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,63,-,1.0,0.0,1.0
"Rowell, Matt",R2,goldcoast,ES,22.0,14.0,8.0,0.0,0.0,4.0,10.0,6.0,13.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,86,-,2.0,0.0,0.0
"Sexton, Alex",R2,goldcoast,ES,5.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,30,On,1.0,0.0,0.0
"Swallow, David",R2,goldcoast,ES,14.0,8.0,6.0,0.0,1.0,4.0,4.0,5.0,9.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,75,-,2.0,3.0,0.0
"Tsitas, James",R2,goldcoast,ES,,,,,,,,,,,,,,,,,,,,,,,
"Uwland, Bodhi",R2,goldcoast,ES,5.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,71,-,1.0,1.0,0.0
"Weller, Lachie",R2,goldcoast,ES,24.0,18.0,6.0,0.0,1.0,7.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,77,-,1.0,2.0,0.0
